antecedents,consequents,support,confidence,lift
"frozenset({'yogurt', 'whole milk'})",frozenset({'sausage'}),0.0014702933903628951,0.1317365269461078,2.1829165589087607
frozenset({'sausage'}),"frozenset({'yogurt', 'whole milk'})",0.0014702933903628951,0.024363233665559245,2.1829165589087607
"frozenset({'whole milk', 'sausage'})",frozenset({'yogurt'}),0.0014702933903628951,0.16417910447761194,1.9117602648237413
frozenset({'yogurt'}),"frozenset({'whole milk', 'sausage'})",0.0014702933903628951,0.017120622568093383,1.911760264823741
frozenset({'specialty chocolate'}),frozenset({'citrus fruit'}),0.001403461872619127,0.08786610878661087,1.6537617431120233
frozenset({'citrus fruit'}),frozenset({'specialty chocolate'}),0.001403461872619127,0.02641509433962264,1.6537617431120233
"frozenset({'yogurt', 'sausage'})",frozenset({'whole milk'}),0.0014702933903628951,0.2558139534883721,1.6198663504217148
frozenset({'whole milk'}),"frozenset({'yogurt', 'sausage'})",0.0014702933903628951,0.009310198899703767,1.6198663504217146
frozenset({'tropical fruit'}),frozenset({'flour'}),0.0010693042839002875,0.01577909270216963,1.6171408500175628
frozenset({'flour'}),frozenset({'tropical fruit'}),0.0010693042839002875,0.10958904109589042,1.6171408500175626
frozenset({'beverages'}),frozenset({'sausage'}),0.0015371249081066632,0.09274193548387098,1.5367636551995143
frozenset({'sausage'}),frozenset({'beverages'}),0.0015371249081066632,0.02547065337763012,1.536763655199514
frozenset({'sausage'}),"frozenset({'soda', 'whole milk'})",0.0010693042839002875,0.017718715393134,1.5237076921118624
"frozenset({'soda', 'whole milk'})",frozenset({'sausage'}),0.0010693042839002875,0.09195402298850576,1.5237076921118622
frozenset({'napkins'}),frozenset({'pastry'}),0.0017376194613379669,0.07854984894259819,1.5185289272972826
frozenset({'pastry'}),frozenset({'napkins'}),0.0017376194613379669,0.03359173126614987,1.5185289272972826
frozenset({'root vegetables'}),frozenset({'processed cheese'}),0.0010693042839002875,0.015369836695485112,1.5130188583851563
frozenset({'processed cheese'}),frozenset({'root vegetables'}),0.0010693042839002875,0.10526315789473686,1.5130188583851563
frozenset({'pip fruit'}),frozenset({'hard cheese'}),0.0010693042839002875,0.021798365122615806,1.4825860787713652
frozenset({'hard cheese'}),frozenset({'pip fruit'}),0.0010693042839002875,0.07272727272727274,1.482586078771365
frozenset({'yogurt'}),frozenset({'soft cheese'}),0.0012697988371315912,0.014785992217898832,1.4749520103761349
frozenset({'soft cheese'}),frozenset({'yogurt'}),0.0012697988371315912,0.12666666666666665,1.4749520103761347
frozenset({'curd'}),frozenset({'sausage'}),0.0029405867807257902,0.08730158730158731,1.446615338641917
frozenset({'sausage'}),frozenset({'curd'}),0.0029405867807257902,0.04872646733111849,1.4466153386419167
frozenset({'yogurt'}),frozenset({'detergent'}),0.0010693042839002875,0.012451361867704281,1.4442614544686756
frozenset({'detergent'}),frozenset({'yogurt'}),0.0010693042839002875,0.12403100775193798,1.4442614544686756
frozenset({'sugar'}),frozenset({'bottled water'}),0.0014702933903628951,0.0830188679245283,1.368074141800349
frozenset({'bottled water'}),frozenset({'sugar'}),0.0014702933903628951,0.024229074889867842,1.368074141800349
frozenset({'white bread'}),frozenset({'canned beer'}),0.0015371249081066632,0.06406685236768803,1.3655730939853503
frozenset({'canned beer'}),frozenset({'white bread'}),0.0015371249081066632,0.03276353276353276,1.3655730939853503
frozenset({'brown bread'}),frozenset({'canned beer'}),0.0024059346387756467,0.06394316163410303,1.3629366489046777
frozenset({'canned beer'}),frozenset({'brown bread'}),0.0024059346387756467,0.05128205128205129,1.3629366489046775
frozenset({'chewing gum'}),frozenset({'yogurt'}),0.001403461872619127,0.11666666666666667,1.358508430609598
frozenset({'yogurt'}),frozenset({'chewing gum'}),0.001403461872619127,0.016342412451361865,1.3585084306095978
frozenset({'sausage'}),"frozenset({'rolls/buns', 'whole milk'})",0.0011361358016440553,0.018826135105204873,1.3478251654506244
"frozenset({'rolls/buns', 'whole milk'})",frozenset({'sausage'}),0.0011361358016440553,0.08133971291866028,1.3478251654506244
"frozenset({'rolls/buns', 'sausage'})",frozenset({'whole milk'}),0.0011361358016440553,0.2125,1.345593525179856
frozenset({'whole milk'}),"frozenset({'rolls/buns', 'sausage'})",0.0011361358016440553,0.007194244604316547,1.345593525179856
frozenset({'sausage'}),frozenset({'sliced cheese'}),0.0011361358016440553,0.018826135105204873,1.34140695037705
frozenset({'sliced cheese'}),frozenset({'sausage'}),0.0011361358016440553,0.08095238095238094,1.3414069503770498
frozenset({'beef'}),frozenset({'frozen vegetables'}),0.0012697988371315912,0.03740157480314961,1.3356557608103283
frozenset({'frozen vegetables'}),frozenset({'beef'}),0.0012697988371315912,0.045346062052505964,1.3356557608103283
frozenset({'margarine'}),frozenset({'frankfurter'}),0.001603956425850431,0.04979253112033195,1.318664855138986
frozenset({'frankfurter'}),frozenset({'margarine'}),0.001603956425850431,0.04247787610619469,1.3186648551389857
frozenset({'processed cheese'}),frozenset({'rolls/buns'}),0.0014702933903628951,0.14473684210526316,1.315733516659206
frozenset({'rolls/buns'}),frozenset({'processed cheese'}),0.0014702933903628951,0.013365735115431349,1.3157335166592057
frozenset({'candy'}),frozenset({'citrus fruit'}),0.0010024727661565194,0.06976744186046512,1.3131197893813076
frozenset({'citrus fruit'}),frozenset({'candy'}),0.0010024727661565194,0.018867924528301886,1.3131197893813076
frozenset({'packaged fruit/vegetables'}),frozenset({'rolls/buns'}),0.0012029673193878234,0.14173228346456695,1.2884205087972755
frozenset({'rolls/buns'}),frozenset({'packaged fruit/vegetables'}),0.0012029673193878234,0.010935601458080195,1.2884205087972753
frozenset({'rolls/buns'}),frozenset({'seasonal products'}),0.0010024727661565194,0.00911300121506683,1.2863946903872168
frozenset({'seasonal products'}),frozenset({'rolls/buns'}),0.0010024727661565194,0.14150943396226415,1.2863946903872165
frozenset({'margarine'}),frozenset({'beef'}),0.001403461872619127,0.043568464730290454,1.2832971215734963
frozenset({'beef'}),frozenset({'margarine'}),0.001403461872619127,0.04133858267716536,1.2832971215734963
frozenset({'newspapers'}),frozenset({'beef'}),0.001670787943594199,0.0429553264604811,1.2652373028113755
frozenset({'beef'}),frozenset({'newspapers'}),0.001670787943594199,0.04921259842519685,1.2652373028113755
frozenset({'curd'}),frozenset({'dessert'}),0.0010024727661565194,0.029761904761904764,1.2615506542560369
frozenset({'dessert'}),frozenset({'curd'}),0.0010024727661565194,0.042492917847025496,1.2615506542560369
frozenset({'frozen meals'}),frozenset({'sausage'}),0.0012697988371315912,0.07569721115537849,1.2543270991339184
frozenset({'sausage'}),frozenset({'frozen meals'}),0.0012697988371315912,0.02104097452934662,1.2543270991339182
frozenset({'yogurt'}),frozenset({'herbs'}),0.0011361358016440553,0.013229571984435798,1.2528739595133724
frozenset({'herbs'}),frozenset({'yogurt'}),0.0011361358016440553,0.10759493670886075,1.2528739595133722
